ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o,0.9,2101
SEN01,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 27978, Requested 2617. Please try again in 1.19s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
UCA11,Note: 4,gpt-4o,0.6,2438
UPS10,Note: 5,gpt-4o,6.48,2456
SPC08,Note: 4,gpt-4o,5.52,2187
LRE11,Note: 3,gpt-4o,0.6,2262
SOU15,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28136, Requested 2722. Please try again in 1.716s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
UCA07,Note: 4,gpt-4o,0.73,2360
BRE16,Note: 4,gpt-4o,4.41,2452
SPC09,Note: 3,gpt-4o,7.11,2242
ALS08,Note: 3,gpt-4o,4.77,2567
PES08,Note: 4,gpt-4o,5.15,2421
LYO02,Note: 4,gpt-4o,2.2,2418
UCA05,Note: 3,gpt-4o,6.77,2274
CVL01,Note: 4,gpt-4o,3.8,2153
BOD07,Note: 4,gpt-4o,3.64,2412
ALS03,Note: 4,gpt-4o,4.65,2571
GRE03,Note: 4,gpt-4o,4.68,2369
PES06,Note: 4,gpt-4o,5.87,2177
OCM10,Note: 5,gpt-4o,2.77,2188
LOR02,Note: 4,gpt-4o,6.66,2364
UPL02,Note: 4,gpt-4o,0.96,2448
NOR10,Note: 4,gpt-4o,0.6,2323
BRE14,Note: 4,gpt-4o,11.66,2361
LYO05,Note: 3,gpt-4o,4.04,2481
GRE07,Note: 3,gpt-4o,0.47,2432
POF03,Note: 4,gpt-4o,0.64,2525
BFC09,Note: 4,gpt-4o,11.95,2196
BFC10,Note: 4,gpt-4o,0.88,2337
GRE01,Note: 5,gpt-4o,0.6,2136
OCM08,Note: 3,gpt-4o,8.56,2064
LYO01,Note: 4,gpt-4o,9.1,2464
BOD11,Note: 4,gpt-4o,4.9,2398
LRE02,Note: 4,gpt-4o,4.4,2442
OCM07,Note: 5,gpt-4o,4.72,2192
SPC05,Note: 5,gpt-4o,5.09,2458
BOD04,Note: 5,gpt-4o,5.02,2422
POF05,Note: 4,gpt-4o,0.74,2211
SPC03,Note: 3,gpt-4o,9.45,1994
SOU01,Note: 4,gpt-4o,3.18,2607
OCM11,Note: 4,gpt-4o,0.72,2037
NOR04,Note: 4,gpt-4o,9.04,2183
SPC04,Note: 4,gpt-4o,0.76,2317
LDV05,Note: 3,gpt-4o,2.93,2351
ALS05,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28079, Requested 2738. Please try again in 1.634s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
LYO10,Note: 4,gpt-4o,0.6,2531
OCM14,Note: 4,gpt-4o,6.15,2161
SOU07,Note: 4,gpt-4o,3.91,2226
BRE04,Note: 4,gpt-4o,0.87,2420
HES06,Note: 4,gpt-4o,6.0,2195
UCA02,Note: 4,gpt-4o,5.41,2240
PES07,Note: 4,gpt-4o,1.08,2227
UCA14,Note: 3,gpt-4o,0.71,2496
CFE05,Note: 4,gpt-4o,10.18,2456
PES03,Note: 5,gpt-4o,7.36,2371
ALS04,Note: 5,gpt-4o,0.98,2547
SOU14,Note: 4,gpt-4o,8.22,2199
CVL03,Note: 4,gpt-4o,4.3,2107
NOR12,Note: 5,gpt-4o,2.43,2612
OCM18,Note: 5,gpt-4o,7.43,2486
BFC02,Note: 3,gpt-4o,7.51,2440
CFE09,Note: 5,gpt-4o,4.65,2549
LDV08,Note: 5,gpt-4o,0.49,1865
SOU10,Note: 4,gpt-4o,6.5,2534
SOU09,Note: 3,gpt-4o,0.84,2280
ALS09,Note: 3,gpt-4o,0.6,2339
ALS11,Note: 4,gpt-4o,0.6,2639
GRE13,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29776, Requested 2629. Please try again in 4.81s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
HES08,Note: 5,gpt-4o,1.18,2460
LDV09,Note: 4,gpt-4o,11.53,2414
LDV07,Note: 4,gpt-4o,0.72,2525
ALS10,Note: 4,gpt-4o,0.66,2521
OCM13,Note: 4,gpt-4o,6.79,2073
HES02,Note: 5,gpt-4o,0.6,2422
HES03,Note: 3,gpt-4o,11.04,2304
NOR05,Note: 4,gpt-4o,6.46,2439
LOR03,Note: 4,gpt-4o,4.31,2217
CVL02,Note: 4,gpt-4o,0.84,2341
UPS04,Note: 4,gpt-4o,6.37,2248
HES05,Note: 4,gpt-4o,8.83,2228
SEN02,Note: 4,gpt-4o,2.32,2416
BOD12,Note: 4,gpt-4o,0.96,2326
LYO11,Note: 5,gpt-4o,8.47,2392
BOD01,Note: 3,gpt-4o,4.87,2424
SOU13,Note: 4,gpt-4o,4.92,2492
CFE02,Note: 3,gpt-4o,4.53,2172
HES01,Note: 4,gpt-4o,0.85,2346
LOR08,Note: 3,gpt-4o,8.8,2378
LRE09,Note: 3,gpt-4o,6.15,2187
BFC06,Note: 5,gpt-4o,0.67,2359
