ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,5.7,2999
SEN01,Note: C,gpt-4o,8.75,3752
UCA11,Note: A,gpt-4o,6.41,3785
UPS10,Note: C,gpt-4o,8.64,3899
SPC08,Note: C,gpt-4o,8.09,3581
LRE11,Note: C,gpt-4o,7.62,3613
SOU15,Note: B,gpt-4o,5.37,3829
UCA07,Note: B,gpt-4o,9.61,3831
BRE16,Note: C,gpt-4o,6.0,3990
SPC09,Note: B,gpt-4o,10.27,3391
ALS08,Note: C,gpt-4o,4.84,4073
PES08,Note: C,gpt-4o,7.22,3513
LYO02,Note: C,gpt-4o,6.87,3462
UCA05,Note: A,gpt-4o,7.85,3774
CVL01,Note: B,gpt-4o,9.15,3723
BOD07,Note: C,gpt-4o,5.31,3894
ALS03,Note: C,gpt-4o,9.92,4102
GRE03,Note: C,gpt-4o,7.13,3574
PES06,Note: C,gpt-4o,8.82,3865
OCM10,Note: C,gpt-4o,0.72,3506
LOR02,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 27305, Requested 3933. Please try again in 2.476s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
UPL02,Note: A,gpt-4o,4.69,3888
NOR10,Note: C,gpt-4o,1.06,3780
BRE14,Note: C,gpt-4o,11.18,3790
LYO05,Note: B,gpt-4o,5.38,3631
GRE07,Note: C,gpt-4o,9.69,3796
POF03,Note: C,gpt-4o,10.07,3815
BFC09,Note: C,gpt-4o,8.08,3776
BFC10,Note: C,gpt-4o,0.6,3398
GRE01,Note: C,gpt-4o,10.43,3764
OCM08,Note: A,gpt-4o,6.49,3112
LYO01,Note: A,gpt-4o,8.1,4037
BOD11,Note: C,gpt-4o,0.72,3497
LRE02,Note: C,gpt-4o,9.81,3943
OCM07,Note: C,gpt-4o,12.47,4073
SPC05,Note: C,gpt-4o,9.65,3737
BOD04,Note: C,gpt-4o,6.95,3609
POF05,Note: A,gpt-4o,6.61,3463
SPC03,Note: A,gpt-4o,5.35,3346
SOU01,Note: C,gpt-4o,7.03,3857
OCM11,Note: C,gpt-4o,8.95,3599
NOR04,Note: A,gpt-4o,5.88,3668
SPC04,Note: C,gpt-4o,1.0,3974
LDV05,Note: B,gpt-4o,14.94,3880
ALS05,Note: A,gpt-4o,6.98,3620
LYO10,Note: B,gpt-4o,8.22,4019
OCM14,Note: A,gpt-4o,9.83,3935
SOU07,Note: C,gpt-4o,7.58,4016
BRE04,Note: A,gpt-4o,6.25,4029
HES06,Note: A,gpt-4o,6.73,3449
UCA02,Note: C,gpt-4o,8.84,3380
PES07,Note: B,gpt-4o,6.0,3894
UCA14,Note: C,gpt-4o,8.95,4198
CFE05,Note: C,gpt-4o,6.98,3697
PES03,Note: A,gpt-4o,0.93,3885
ALS04,Note: A,gpt-4o,17.22,4179
SOU14,Note: A,gpt-4o,4.39,3509
CVL03,Note: A,gpt-4o,8.6,3563
NOR12,Note: C,gpt-4o,7.99,4076
OCM18,Note: C,gpt-4o,9.21,3680
BFC02,Note: A,gpt-4o,0.82,4019
CFE09,Note: C,gpt-4o,13.5,3818
LDV08,Note: C,gpt-4o,7.36,3980
SOU10,Note: C,gpt-4o,7.06,4077
SOU09,Note: C,gpt-4o,9.5,3567
ALS09,Note: C,gpt-4o,6.75,3704
ALS11,Note: C,gpt-4o,6.74,4285
GRE13,Note: C,gpt-4o,7.71,3786
HES08,Note: A,gpt-4o,9.81,3790
LDV09,Note: C,gpt-4o,5.16,3795
LDV07,Note: C,gpt-4o,8.05,3848
ALS10,Note: C,gpt-4o,7.14,3773
OCM13,Note: A,gpt-4o,7.11,3573
HES02,Note: B,gpt-4o,7.81,3862
HES03,Note: C,gpt-4o,0.61,3386
NOR05,Note: B,gpt-4o,14.26,3255
LOR03,Note: C,gpt-4o,5.77,3785
CVL02,Note: C,gpt-4o,8.25,3636
UPS04,Note: A,gpt-4o,0.88,3921
HES05,Note: A,gpt-4o,14.76,3352
SEN02,Note: C,gpt-4o,5.6,3964
BOD12,Note: C,gpt-4o,8.33,4026
LYO11,Note: C,gpt-4o,8.47,3883
BOD01,Note: C,gpt-4o,10.7,3704
SOU13,Note: C,gpt-4o,3.48,3795
CFE02,Note: C,gpt-4o,10.72,3434
HES01,Note: C,gpt-4o,3.17,3782
LOR08,Note: A,gpt-4o,9.81,3729
LRE09,Note: C,gpt-4o,5.52,3737
BFC06,Note: C,gpt-4o,7.97,3664
