ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o,6.51,3147
SEN01,Note: C,gpt-4o,6.81,3672
UCA11,Note: B,gpt-4o,8.83,3965
UPS10,Note: B,gpt-4o,7.1,4114
SPC08,Note: B,gpt-4o,7.48,3612
LRE11,Note: B,gpt-4o,0.72,4034
SOU15,Note: C,gpt-4o,15.09,3992
UCA07,Note: A,gpt-4o,7.85,3792
BRE16,Note: C,gpt-4o,8.32,4074
SPC09,Note: B,gpt-4o,0.97,3706
ALS08,Note: C,gpt-4o,13.86,3706
PES08,Note: C,gpt-4o,7.36,3654
LYO02,Note: C,gpt-4o,1.71,3835
UCA05,Note: B,gpt-4o,9.95,3951
CVL01,Note: B,gpt-4o,0.7,3483
BOD07,Note: C,gpt-4o,10.47,3909
ALS03,Note: B,gpt-4o,9.63,3847
GRE03,Note: B,gpt-4o,12.56,3624
PES06,Note: B,gpt-4o,8.05,3412
OCM10,Note: C,gpt-4o,6.02,3631
LOR02,Note: C,gpt-4o,7.1,3671
UPL02,Note: B,gpt-4o,7.97,3895
NOR10,Note: C,gpt-4o,6.59,3579
BRE14,Note: C,gpt-4o,7.29,3496
LYO05,Note: B,gpt-4o,8.26,4003
GRE07,Note: B,gpt-4o,7.63,3907
POF03,Note: B,gpt-4o,8.34,4145
BFC09,Note: B,gpt-4o,8.46,3827
BFC10,Note: C,gpt-4o,0.53,3526
GRE01,Note: C,gpt-4o,13.56,3959
OCM08,Note: B,gpt-4o,7.97,3890
LYO01,Note: C,gpt-4o,8.3,3853
BOD11,Note: C,gpt-4o,6.0,3557
LRE02,Note: C,gpt-4o,11.07,3941
OCM07,Note: C,gpt-4o,5.05,3771
SPC05,Note: C,gpt-4o,8.34,4139
BOD04,Note: B,gpt-4o,7.59,3937
POF05,Note: B,gpt-4o,6.62,3703
SPC03,Note: C,gpt-4o,7.73,3591
SOU01,Note: C,gpt-4o,7.48,3742
OCM11,Note: C,gpt-4o,6.34,3516
NOR04,Note: C,gpt-4o,7.39,3436
SPC04,Note: C,gpt-4o,7.73,3818
LDV05,Note: C,gpt-4o,7.5,3898
ALS05,Note: B,gpt-4o,8.07,3763
LYO10,Note: C,gpt-4o,7.48,4046
OCM14,Note: C,gpt-4o,7.23,3634
SOU07,Note: B,gpt-4o,8.81,3909
BRE04,Note: C,gpt-4o,0.75,3661
HES06,Note: B,gpt-4o,13.0,3606
UCA02,Note: B,gpt-4o,7.35,3759
PES07,Note: C,gpt-4o,8.08,3796
UCA14,Note: A,gpt-4o,1.02,3951
CFE05,Note: C,gpt-4o,14.45,3975
PES03,Note: C,gpt-4o,10.54,3651
ALS04,Note: C,gpt-4o,4.54,4050
SOU14,Note: B,gpt-4o,7.47,3530
CVL03,Note: B,gpt-4o,0.76,3854
NOR12,Note: B,gpt-4o,14.54,3989
OCM18,Note: B,gpt-4o,0.88,3776
BFC02,Note: B,gpt-4o,15.35,3949
CFE09,Note: C,gpt-4o,6.62,3578
LDV08,Note: C,gpt-4o,7.85,3833
SOU10,Note: B,gpt-4o,9.45,3835
SOU09,Note: B,gpt-4o,5.21,3603
ALS09,Note: C,gpt-4o,6.74,3552
ALS11,Note: C,gpt-4o,9.47,4044
GRE13,Note: B,gpt-4o,6.52,3882
HES08,Note: C,gpt-4o,8.1,3912
LDV09,Note: C,gpt-4o,7.48,3650
LDV07,Note: C,gpt-4o,6.61,3670
ALS10,Note: B,gpt-4o,8.34,4037
OCM13,Note: B,gpt-4o,6.71,3420
HES02,Note: C,gpt-4o,1.28,4092
HES03,Note: C,gpt-4o,13.18,3355
NOR05,Note: B,gpt-4o,7.95,3879
LOR03,Note: C,gpt-4o,2.64,4088
CVL02,Note: B,gpt-4o,12.84,3792
UPS04,Note: B,gpt-4o,9.35,3787
HES05,Note: C,gpt-4o,6.1,3878
SEN02,Note: B,gpt-4o,0.71,4094
BOD12,Note: C,gpt-4o,15.83,3927
LYO11,Note: C,gpt-4o,7.23,3815
BOD01,Note: C,gpt-4o,0.7,3494
SOU13,Note: C,gpt-4o,14.26,3991
CFE02,Note: C,gpt-4o,6.89,3446
HES01,Note: B,gpt-4o,7.34,3729
LOR08,Note: C,gpt-4o,9.22,3970
LRE09,Note: B,gpt-4o,4.96,3067
BFC06,Note: B,gpt-4o,8.51,4072
