ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,1.36,2994
SEN01,Note: C,gpt-4o,1.21,3780
UCA11,Note: C,gpt-4o,0.97,3810
UPS10,Note: C,gpt-4o,1.45,3691
SPC08,Note: B,gpt-4o,1.09,3579
LRE11,Note: C,gpt-4o,1.09,3565
SOU15,Note: C,gpt-4o,0.73,3944
UCA07,Note: A,gpt-4o,0.88,3707
BRE16,Note: C,gpt-4o,0.81,3897
SPC09,Note: B,gpt-4o,5.87,3396
ALS08,Note: C,gpt-4o,8.32,4174
PES08,Note: C,gpt-4o,6.0,3106
LYO02,Note: C,gpt-4o,7.86,3934
UCA05,Note: B,gpt-4o,7.25,3539
CVL01,Note: C,gpt-4o,6.46,3647
BOD07,Note: B,gpt-4o,8.1,3913
ALS03,Note: C,gpt-4o,8.62,3953
GRE03,Note: C,gpt-4o,7.91,3425
PES06,Note: C,gpt-4o,6.07,3859
OCM10,Note: C,gpt-4o,7.5,3914
LOR02,Note: C,gpt-4o,7.72,3855
UPL02,Note: C,gpt-4o,7.97,3807
NOR10,Note: B,gpt-4o,6.8,3627
BRE14,Note: C,gpt-4o,8.55,3291
LYO05,Note: B,gpt-4o,5.62,3545
GRE07,Note: B,gpt-4o,7.97,3806
POF03,Note: C,gpt-4o,7.48,4163
BFC09,Note: C,gpt-4o,8.83,3707
BFC10,Note: B,gpt-4o,6.42,3785
GRE01,Note: C,gpt-4o,7.07,3530
OCM08,Note: B,gpt-4o,7.11,3692
LYO01,Note: C,gpt-4o,7.98,3999
BOD11,Note: C,gpt-4o,7.4,3693
LRE02,Note: C,gpt-4o,8.16,3862
OCM07,Note: C,gpt-4o,7.75,3978
SPC05,Note: C,gpt-4o,7.73,3878
BOD04,Note: B,gpt-4o,7.21,3605
POF05,Note: C,gpt-4o,6.5,3497
SPC03,Note: C,gpt-4o,7.6,3405
SOU01,Note: C,gpt-4o,7.08,3823
OCM11,Note: C,gpt-4o,0.76,3446
NOR04,Note: C,gpt-4o,13.08,3439
SPC04,Note: C,gpt-4o,8.39,3905
LDV05,Note: C,gpt-4o,7.46,3982
ALS05,Note: C,gpt-4o,8.48,3927
LYO10,Note: C,gpt-4o,6.75,3825
OCM14,Note: C,gpt-4o,8.38,3744
SOU07,Note: C,gpt-4o,8.48,3817
BRE04,Note: C,gpt-4o,5.65,3913
HES06,Note: B,gpt-4o,7.15,3179
UCA02,Note: B,gpt-4o,7.49,3825
PES07,Note: C,gpt-4o,6.62,3231
UCA14,Note: B,gpt-4o,7.67,3987
CFE05,Note: B,gpt-4o,8.75,3836
PES03,Note: C,gpt-4o,6.35,3806
ALS04,Note: C,gpt-4o,8.73,3962
SOU14,Note: C,gpt-4o,6.5,3534
CVL03,Note: C,gpt-4o,7.11,3741
NOR12,Note: C,gpt-4o,7.42,3825
OCM18,Note: C,gpt-4o,6.97,3571
BFC02,Note: C,gpt-4o,8.66,3988
CFE09,Note: C,gpt-4o,6.98,3610
LDV08,Note: C,gpt-4o,7.23,3541
SOU10,Note: C,gpt-4o,7.24,3718
SOU09,Note: C,gpt-4o,6.37,3226
ALS09,Note: B,gpt-4o,6.15,2990
ALS11,Note: B,gpt-4o,7.57,3739
GRE13,Note: B,gpt-4o,7.11,3699
HES08,Note: C,gpt-4o,7.49,3760
LDV09,Note: C,gpt-4o,6.38,3177
LDV07,Note: C,gpt-4o,7.97,3823
ALS10,Note: C,gpt-4o,7.6,3967
OCM13,Note: B,gpt-4o,6.88,3503
HES02,Note: C,gpt-4o,7.58,3825
HES03,Note: B,gpt-4o,7.11,3244
NOR05,Note: C,gpt-4o,7.29,3855
LOR03,Note: C,gpt-4o,7.67,3702
CVL02,Note: C,gpt-4o,7.48,3641
UPS04,Note: C,gpt-4o,7.6,3870
HES05,Note: B,gpt-4o,6.85,3611
SEN02,Note: C,gpt-4o,7.98,4029
BOD12,Note: C,gpt-4o,7.97,3864
LYO11,Note: C,gpt-4o,7.47,4001
BOD01,Note: C,gpt-4o,8.21,3953
SOU13,Note: C,gpt-4o,8.09,3921
CFE02,Note: C,gpt-4o,6.49,3433
HES01,Note: C,gpt-4o,6.74,3664
LOR08,Note: C,gpt-4o,8.22,3757
LRE09,Note: C,gpt-4o,6.62,3358
BFC06,Note: C,gpt-4o,7.89,3773
