ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,5.66,3099
SEN01,Note: C,gpt-4o,7.41,3620
UCA11,Note: C,gpt-4o,7.23,3662
UPS10,Note: C,gpt-4o,7.97,3992
SPC08,Note: C,gpt-4o,6.74,3370
LRE11,Note: C,gpt-4o,7.64,3872
SOU15,Note: C,gpt-4o,8.06,4067
UCA07,Note: A,gpt-4o,7.61,3695
BRE16,Note: C,gpt-4o,8.46,3769
SPC09,Note: B,gpt-4o,6.01,3330
ALS08,Note: C,gpt-4o,8.33,4185
PES08,Note: C,gpt-4o,6.74,3566
LYO02,Note: B,gpt-4o,7.12,3675
UCA05,Note: B,gpt-4o,8.83,3763
CVL01,Note: C,gpt-4o,6.25,3703
BOD07,Note: B,gpt-4o,7.33,3771
ALS03,Note: B,gpt-4o,8.02,3710
GRE03,Note: C,gpt-4o,6.96,3535
PES06,Note: C,gpt-4o,7.11,3658
OCM10,Note: C,gpt-4o,6.82,3532
LOR02,Note: C,gpt-4o,7.75,3487
UPL02,Note: C,gpt-4o,7.6,3903
NOR10,Note: C,gpt-4o,6.25,3507
BRE14,Note: B,gpt-4o,7.72,3803
LYO05,Note: B,gpt-4o,8.65,3826
GRE07,Note: B,gpt-4o,6.47,3685
POF03,Note: C,gpt-4o,7.95,4032
BFC09,Note: C,gpt-4o,7.23,3518
BFC10,Note: C,gpt-4o,7.85,3687
GRE01,Note: C,gpt-4o,8.23,3883
OCM08,Note: B,gpt-4o,5.64,3348
LYO01,Note: C,gpt-4o,6.99,3513
BOD11,Note: C,gpt-4o,7.85,3651
LRE02,Note: C,gpt-4o,6.75,3774
OCM07,Note: C,gpt-4o,9.06,3999
SPC05,Note: C,gpt-4o,7.48,4014
BOD04,Note: C,gpt-4o,6.86,3664
POF05,Note: C,gpt-4o,7.66,3860
SPC03,Note: C,gpt-4o,6.58,3107
SOU01,Note: C,gpt-4o,7.85,3962
OCM11,Note: C,gpt-4o,6.23,3259
NOR04,Note: C,gpt-4o,7.53,3532
SPC04,Note: C,gpt-4o,8.16,4108
LDV05,Note: C,gpt-4o,7.6,3949
ALS05,Note: C,gpt-4o,7.6,3669
LYO10,Note: C,gpt-4o,7.48,3820
OCM14,Note: B,gpt-4o,7.06,3751
SOU07,Note: C,gpt-4o,7.17,3568
BRE04,Note: C,gpt-4o,8.22,4032
HES06,Note: B,gpt-4o,6.98,3566
UCA02,Note: B,gpt-4o,8.29,3686
PES07,Note: C,gpt-4o,6.67,3575
UCA14,Note: A,gpt-4o,8.71,3859
CFE05,Note: C,gpt-4o,6.25,3776
PES03,Note: C,gpt-4o,12.18,3809
ALS04,Note: C,gpt-4o,3.15,3918
SOU14,Note: B,gpt-4o,0.79,3592
CVL03,Note: C,gpt-4o,7.61,3803
NOR12,Note: C,gpt-4o,8.66,3790
OCM18,Note: C,gpt-4o,7.24,3952
BFC02,Note: C,gpt-4o,8.02,4050
CFE09,Note: C,gpt-4o,0.79,3670
LDV08,Note: C,gpt-4o,13.36,3623
SOU10,Note: C,gpt-4o,8.1,3836
SOU09,Note: B,gpt-4o,6.78,3477
ALS09,Note: B,gpt-4o,0.79,3529
ALS11,Note: C,gpt-4o,13.15,3662
GRE13,Note: B,gpt-4o,8.3,4044
HES08,Note: C,gpt-4o,8.01,3893
LDV09,Note: C,gpt-4o,6.48,3245
LDV07,Note: C,gpt-4o,1.45,3751
ALS10,Note: C,gpt-4o,12.83,3709
OCM13,Note: B,gpt-4o,0.89,3623
HES02,Note: C,gpt-4o,10.43,3765
HES03,Note: B,gpt-4o,10.18,3373
NOR05,Note: B,gpt-4o,7.35,3660
LOR03,Note: C,gpt-4o,7.77,3785
CVL02,Note: C,gpt-4o,1.45,3874
UPS04,Note: B,gpt-4o,13.54,3615
HES05,Note: C,gpt-4o,8.28,3596
SEN02,Note: B,gpt-4o,6.12,3730
BOD12,Note: B,gpt-4o,9.18,4046
LYO11,Note: C,gpt-4o,6.53,3825
BOD01,Note: C,gpt-4o,8.71,3827
SOU13,Note: C,gpt-4o,7.14,3979
CFE02,Note: C,gpt-4o,6.72,3584
HES01,Note: B,gpt-4o,7.56,3659
LOR08,Note: B,gpt-4o,7.52,3592
LRE09,Note: B,gpt-4o,6.4,3256
BFC06,Note: C,gpt-4o,7.62,3862
