ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 58,gpt-4o,0.66,442
SEN01,Note: 85,gpt-4o,1.55,761
UCA11,Note: 85,gpt-4o,1.42,823
UPS10,Note: 85,gpt-4o,1.73,926
SPC08,Note: 87,gpt-4o,1.84,733
LRE11,Note: 85,gpt-4o,1.32,800
SOU15,Note: 90,gpt-4o,1.73,875
UCA07,Note: 72,gpt-4o,1.62,770
BRE16,Note: 92,gpt-4o,1.63,881
SPC09,Note: 75,gpt-4o,1.43,592
ALS08,Note: 95,gpt-4o,1.51,917
PES08,Note: 87,gpt-4o,1.62,757
LYO02,Note: 85,gpt-4o,1.43,759
UCA05,Note: 80,gpt-4o,3.48,772
CVL01,Note: 85,gpt-4o,0.54,721
BOD07,Note: 87,gpt-4o,0.54,822
ALS03,Note: 85,gpt-4o,2.78,866
GRE03,Note: 85,gpt-4o,0.57,668
PES06,Note: 85,gpt-4o,1.29,754
OCM10,Note: 90,gpt-4o,2.11,782
LOR02,Note: 85,gpt-4o,0.63,774
UPL02,Note: 87,gpt-4o,2.3,859
NOR10,Note: 85,gpt-4o,1.01,674
BRE14,Note: 85,gpt-4o,1.46,790
LYO05,Note: 70,gpt-4o,2.0,892
GRE07,Note: 85,gpt-4o,1.49,786
POF03,Note: 85,gpt-4o,2.31,935
BFC09,Note: 92,gpt-4o,1.42,742
BFC10,Note: 88,gpt-4o,1.1,682
GRE01,Note: 90,gpt-4o,1.43,748
OCM08,Note: 85,gpt-4o,1.52,708
LYO01,Note: 85,gpt-4o,1.41,814
BOD11,Note: 85,gpt-4o,2.15,692
LRE02,Note: 92,gpt-4o,1.01,853
OCM07,Note: 85,gpt-4o,4.18,860
SPC05,Note: 95,gpt-4o,0.53,884
BOD04,Note: 85,gpt-4o,0.78,751
POF05,Note: 90,gpt-4o,0.91,779
SPC03,Note: 90,gpt-4o,1.63,662
SOU01,Note: 85,gpt-4o,1.63,906
OCM11,Note: 95,gpt-4o,1.05,705
NOR04,Note: 85,gpt-4o,1.58,675
SPC04,Note: 95,gpt-4o,1.83,881
LDV05,Note: 85,gpt-4o,1.73,907
ALS05,Note: 88,gpt-4o,1.83,804
LYO10,Note: 85,gpt-4o,1.63,876
OCM14,Note: 85,gpt-4o,1.62,805
SOU07,Note: 85,gpt-4o,1.63,883
BRE04,Note: 87,gpt-4o,1.62,875
HES06,Note: 90,gpt-4o,1.43,664
UCA02,Note: 85,gpt-4o,1.53,732
PES07,Note: 85,gpt-4o,1.41,728
UCA14,Note: 78,gpt-4o,2.04,925
CFE05,Note: 90,gpt-4o,1.32,806
PES03,Note: 90,gpt-4o,1.73,799
ALS04,Note: 85,gpt-4o,1.87,924
SOU14,Note: 85,gpt-4o,1.12,689
CVL03,Note: 90,gpt-4o,1.37,761
NOR12,Note: 95,gpt-4o,1.93,911
OCM18,Note: 89,gpt-4o,1.62,827
BFC02,Note: 85,gpt-4o,2.64,944
CFE09,Note: 85,gpt-4o,1.11,848
LDV08,Note: 85,gpt-4o,1.46,758
SOU10,Note: 90,gpt-4o,1.72,833
SOU09,Note: 85,gpt-4o,1.29,630
ALS09,Note: 85,gpt-4o,1.32,768
ALS11,Note: 90,gpt-4o,2.36,924
GRE13,Note: 85,gpt-4o,1.41,838
HES08,Note: 88,gpt-4o,1.62,872
LDV09,Note: 85,gpt-4o,1.52,713
LDV07,Note: 85,gpt-4o,1.42,815
ALS10,Note: 87,gpt-4o,1.63,887
OCM13,Note: 85,gpt-4o,1.35,620
HES02,Note: 92,gpt-4o,0.68,910
HES03,Note: 85,gpt-4o,1.97,589
NOR05,Note: 85,gpt-4o,1.76,790
LOR03,Note: 85,gpt-4o,1.86,850
CVL02,Note: 85,gpt-4o,1.73,877
UPS04,Note: 85,gpt-4o,1.73,791
HES05,Note: 85,gpt-4o,1.32,732
SEN02,Note: 85,gpt-4o,1.72,866
BOD12,Note: 89,gpt-4o,1.57,887
LYO11,Note: 85,gpt-4o,1.78,841
BOD01,Note: 87,gpt-4o,1.83,835
SOU13,Note: 85,gpt-4o,1.62,864
CFE02,Note: 85,gpt-4o,1.02,633
HES01,Note: 85,gpt-4o,1.73,691
LOR08,Note: 85,gpt-4o,1.45,770
LRE09,Note: 85,gpt-4o,1.39,679
BFC06,Note: 85,gpt-4o,1.62,820
