ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o,0.99,512
SEN01,Note: C,gpt-4o,1.61,831
UCA11,Note: B,gpt-4o,2.14,893
UPS10,Note: C,gpt-4o,1.62,996
SPC08,Note: C,gpt-4o,1.62,803
LRE11,Note: C,gpt-4o,1.63,870
SOU15,Note: C,gpt-4o,1.83,945
UCA07,Note: B,gpt-4o,2.04,840
BRE16,Note: C,gpt-4o,1.63,951
SPC09,Note: C,gpt-4o,1.42,662
ALS08,Note: C,gpt-4o,1.83,987
PES08,Note: C,gpt-4o,2.24,827
LYO02,Note: C,gpt-4o,1.22,829
UCA05,Note: C,gpt-4o,1.62,842
CVL01,Note: B,gpt-4o,1.42,791
BOD07,Note: C,gpt-4o,1.94,892
ALS03,Note: C,gpt-4o,1.71,936
GRE03,Note: C,gpt-4o,2.1,738
PES06,Note: C,gpt-4o,1.17,824
OCM10,Note: C,gpt-4o,1.62,852
LOR02,Note: C,gpt-4o,2.16,844
UPL02,Note: A,gpt-4o,1.47,929
NOR10,Note: C,gpt-4o,1.1,744
BRE14,Note: C,gpt-4o,2.07,860
LYO05,Note: C,gpt-4o,1.79,962
GRE07,Note: C,gpt-4o,1.49,856
POF03,Note: C,gpt-4o,2.32,1005
BFC09,Note: C,gpt-4o,1.71,812
BFC10,Note: C,gpt-4o,1.19,752
GRE01,Note: C,gpt-4o,1.59,818
OCM08,Note: B,gpt-4o,1.66,778
LYO01,Note: C,gpt-4o,1.85,884
BOD11,Note: C,gpt-4o,0.66,762
LRE02,Note: C,gpt-4o,0.62,923
OCM07,Note: C,gpt-4o,1.95,930
SPC05,Note: C,gpt-4o,3.72,954
BOD04,Note: C,gpt-4o,1.47,821
POF05,Note: A,gpt-4o,1.53,849
SPC03,Note: C,gpt-4o,2.77,732
SOU01,Note: C,gpt-4o,0.91,976
OCM11,Note: C,gpt-4o,1.42,775
NOR04,Note: B,gpt-4o,1.83,745
SPC04,Note: C,gpt-4o,2.03,951
LDV05,Note: C,gpt-4o,2.54,977
ALS05,Note: C,gpt-4o,0.65,874
LYO10,Note: C,gpt-4o,1.98,946
OCM14,Note: B,gpt-4o,1.84,875
SOU07,Note: C,gpt-4o,1.72,953
BRE04,Note: C,gpt-4o,1.9,945
HES06,Note: A,gpt-4o,1.47,734
UCA02,Note: C,gpt-4o,1.71,802
PES07,Note: B,gpt-4o,1.46,798
UCA14,Note: C,gpt-4o,1.91,995
CFE05,Note: C,gpt-4o,1.89,876
PES03,Note: C,gpt-4o,1.57,869
ALS04,Note: C,gpt-4o,2.14,994
SOU14,Note: C,gpt-4o,1.45,759
CVL03,Note: A,gpt-4o,1.6,831
NOR12,Note: C,gpt-4o,2.05,981
OCM18,Note: C,gpt-4o,1.6,897
BFC02,Note: A,gpt-4o,2.6,1014
CFE09,Note: C,gpt-4o,1.42,918
LDV08,Note: C,gpt-4o,2.85,828
SOU10,Note: C,gpt-4o,0.46,903
SOU09,Note: C,gpt-4o,1.65,700
ALS09,Note: C,gpt-4o,1.53,838
ALS11,Note: C,gpt-4o,2.29,994
GRE13,Note: C,gpt-4o,1.7,908
HES08,Note: C,gpt-4o,1.84,942
LDV09,Note: C,gpt-4o,1.42,783
LDV07,Note: C,gpt-4o,1.76,885
ALS10,Note: C,gpt-4o,1.7,957
OCM13,Note: A,gpt-4o,1.62,690
HES02,Note: C,gpt-4o,1.6,980
HES03,Note: C,gpt-4o,1.51,659
NOR05,Note: C,gpt-4o,1.67,860
LOR03,Note: C,gpt-4o,1.9,920
CVL02,Note: C,gpt-4o,2.02,947
UPS04,Note: C,gpt-4o,1.81,861
HES05,Note: C,gpt-4o,1.36,802
SEN02,Note: C,gpt-4o,1.87,936
BOD12,Note: C,gpt-4o,2.27,957
LYO11,Note: C,gpt-4o,1.29,911
BOD01,Note: C,gpt-4o,6.43,905
SOU13,Note: C,gpt-4o,1.13,934
CFE02,Note: C,gpt-4o,0.6,703
HES01,Note: C,gpt-4o,0.49,761
LOR08,Note: B,gpt-4o,0.58,840
LRE09,Note: C,gpt-4o,0.72,749
BFC06,Note: C,gpt-4o,2.13,890
