ID,Model Output,Model,Time Spent (s),Tokens
PES04,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
SEN01,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
UCA11,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
UPS10,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
SPC08,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
LRE11,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
SOU15,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
UCA07,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
BRE16,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
SPC09,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
ALS08,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
PES08,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
LYO02,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
UCA05,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
CVL01,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
BOD07,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
ALS03,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
GRE03,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
PES06,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
OCM10,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
LOR02,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
UPL02,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
NOR10,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
BRE14,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
LYO05,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
GRE07,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
POF03,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
BFC09,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
BFC10,"Error code: 404 - {'error': {'message': 'The model `gpt-o4-mini` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'param': None, 'code': 'model_not_found'}}",gpt-o4-mini,0,0
