ID,passive_voice_count
SOU07,0
BOD12,3
UPL02,1
SPC05,0
SOU14,0
UCA05,2
LYO05,0
CVL03,2
LRE11,0
SOU15,2
LDV05,1
UCA14,2
PES07,2
OCM13,1
UCA11,1
BOD01,3
ALS10,0
ALS11,2
BOD07,0
SPC04,3
HES08,1
LDV09,2
LYO11,0
LOR08,0
PES08,0
BRE14,1
UCA07,1
SPC08,1
LDV08,3
OCM14,0
ALS08,0
BRE16,0
GRE07,1
HES06,2
LYO01,0
BFC06,0
OCM08,3
ALS05,0
ALS09,0
BOD04,0
BRE04,1
BOD11,0
SPC09,0
LOR03,0
SEN02,2
GRE01,1
GRE13,1
BFC02,1
NOR04,1
GRE03,0
PES03,0
HES03,3
CFE09,0
HES05,0
SOU09,1
ALS03,0
LDV07,0
CFE05,0
OCM11,2
LRE02,1
HES02,1
LYO02,0
CFE02,1
POF05,1
BFC10,2
OCM18,2
SPC03,0
UCA02,0
CVL01,1
OCM07,1
LRE09,3
SOU01,1
UPS10,0
HES01,1
NOR05,2
SOU13,0
ALS04,2
NOR12,3
LYO10,1
PES04,0
SOU10,0
PES06,2
NOR10,0
SEN01,0
BFC09,0
LOR02,0
POF03,3
UPS04,2
OCM10,1
CVL02,0
