ID,narrative_words,comparison_count
SOU07,0,0
BOD12,4,1
UPL02,1,1
SPC05,0,1
SOU14,1,0
UCA05,2,2
LYO05,3,4
CVL03,1,1
LRE11,1,2
SOU15,2,5
LDV05,1,0
UCA14,4,2
PES07,2,1
OCM13,1,1
UCA11,3,2
BOD01,1,1
ALS10,3,0
ALS11,2,4
BOD07,3,0
SPC04,3,0
HES08,2,2
LDV09,4,1
LYO11,0,2
LOR08,4,3
PES08,2,1
BRE14,2,1
UCA07,4,3
SPC08,1,0
LDV08,4,0
OCM14,4,1
ALS08,2,3
BRE16,1,0
GRE07,2,0
HES06,1,2
LYO01,1,1
BFC06,0,0
OCM08,2,1
ALS05,2,1
ALS09,1,2
BOD04,2,2
BRE04,1,1
BOD11,3,0
SPC09,3,0
LOR03,6,3
SEN02,2,1
GRE01,2,2
GRE13,1,0
BFC02,3,0
NOR04,3,2
GRE03,1,1
PES03,2,1
HES03,4,0
CFE09,3,1
HES05,1,1
SOU09,0,1
ALS03,0,1
LDV07,1,2
CFE05,1,0
OCM11,4,0
LRE02,0,3
HES02,1,3
LYO02,0,2
CFE02,3,0
POF05,2,1
BFC10,1,0
OCM18,2,3
SPC03,0,2
UCA02,0,0
CVL01,2,1
OCM07,3,0
LRE09,3,0
SOU01,2,1
UPS10,2,0
HES01,1,1
NOR05,3,1
SOU13,4,0
ALS04,5,0
NOR12,2,1
LYO10,4,2
PES04,1,1
SOU10,1,1
PES06,3,2
NOR10,2,0
SEN01,1,1
BFC09,1,0
LOR02,3,0
POF03,4,3
UPS04,3,1
OCM10,1,1
CVL02,0,0
