ID,syntactic_diversity_mean,syntactic_diversity_error
SOU07,0.60385334,0.02617275687115993
BOD12,0.41464716,0.019637668428546914
UPL02,0.62940276,0.02409440909815421
SPC05,0.5931243,0.029464003208366268
SOU14,0.38219854,0.038437086483780476
UCA05,0.49989226,0.02364358660074771
LYO05,0.63218474,0.045806908086061346
CVL03,0.35588107,0.01820640383909487
LRE11,0.6395869,0.027451896149395066
SOU15,0.30353546,0.021584443412134877
LDV05,0.55143994,0.01691450479598166
UCA14,0.5566241,0.026168482323184087
PES07,0.50105995,0.04245806788188691
OCM13,0.6895805,0.023266570165652825
UCA11,0.65346444,0.02980352053533732
BOD01,0.48726904,0.015489589136453215
ALS10,0.5495456,0.02782023165496872
ALS11,0.5256704,0.033391858385954785
BOD07,0.71807903,0.017328472864259228
SPC04,0.62140554,0.019127292657540186
HES08,0.5733758,0.027472749770040626
LDV09,0.51258147,0.029519994849426873
LYO11,0.60345197,0.018609241158263654
LOR08,0.6208494,0.026154757090350127
PES08,0.6002813,0.024169748019757326
BRE14,0.5062501,0.027679644073641582
UCA07,0.6198029,0.027504945192952233
SPC08,0.6592158,0.01990535452176534
LDV08,0.56729776,0.03729449825080443
OCM14,0.69496214,0.029031162655249094
ALS08,0.5909254,0.034461789591238225
BRE16,0.6715789,0.023451818384842414
GRE07,0.55154705,0.03528984622227094
HES06,0.5427857,0.021065383963616575
LYO01,0.6969406,0.03015327933404214
BFC06,0.74393046,0.04843536194720574
OCM08,0.6529234,0.03958734485942368
ALS05,0.5178577,0.050606852900974164
ALS09,0.6832685,0.026931963309287103
BOD04,0.60397035,0.044347647057740885
BRE04,0.49485686,0.022397202245534098
BOD11,0.52208304,0.024430124373487953
SPC09,0.5499305,0.032093183199996315
LOR03,0.49672738,0.012206939227015276
SEN02,0.64697325,0.021609079287866085
GRE01,0.53540856,0.02537929484387304
GRE13,0.58107984,0.027945131243219075
BFC02,0.6493123,0.029871943207773786
NOR04,0.51604164,0.03531819391100124
GRE03,0.5141256,0.01904228766784989
PES03,0.38108143,0.022869875678332312
HES03,0.6685553,0.029808537508961317
CFE09,0.5746672,0.019841998023314995
HES05,0.6726819,0.03455964453348099
SOU09,0.5015509,0.036596639283566525
ALS03,0.6412407,0.029346534834618843
LDV07,0.54430526,0.018605753658561583
CFE05,0.6845119,0.024623742234933348
OCM11,0.5937012,0.018557617380794526
LRE02,0.5127343,0.04473825660167406
HES02,0.57452905,0.017728338693967192
LYO02,0.5300838,0.03041367626198984
CFE02,0.5666325,0.02283554051490045
POF05,0.5208829,0.03713701192559861
BFC10,0.4365763,0.0289716259746746
OCM18,0.5135608,0.01896818554122254
SPC03,0.70647216,0.06369368107084208
UCA02,0.38224256,0.02417396764991077
CVL01,0.62819713,0.030044175755622585
OCM07,0.5024946,0.03858829519544068
LRE09,0.5612352,0.028712508196356536
SOU01,0.5875087,0.030284362055212802
UPS10,0.6200884,0.02248143371258694
HES01,0.55567056,0.04577458377624914
NOR05,0.6091416,0.03956646131522444
SOU13,0.56844026,0.01202279126612089
ALS04,0.54471,0.012983081503539367
NOR12,0.5530462,0.022599990411292112
LYO10,0.6146333,0.018709265335925374
PES04,0.49956194,0.040692411861441055
SOU10,0.53317815,0.02942968403180603
PES06,0.42750153,0.03597028225960815
NOR10,0.53157073,0.035117391380887944
SEN01,0.5676255,0.03560964094102935
BFC09,0.44639793,0.018350987838442044
LOR02,0.39579004,0.02927940903613478
POF03,0.57063085,0.03347947505065319
UPS04,0.57279205,0.015261964739217336
OCM10,0.46566045,0.02641784974483077
CVL02,0.61472833,0.035182051139144244
