ID,transitions_per_sentence,transitions_number,transitions_similarity_for_neighbour_sentenses,transition_types_count,expletives_count,polysyndeton_count,asyndeton_count
SOU07,0.4285714285714285,6,0.0714285714285714,3,0,0,6
BOD12,1.0909090909090908,12,0.0909090909090909,5,1,1,7
UPL02,0.6363636363636364,7,0.0,4,0,0,6
SPC05,0.7272727272727273,8,0.0,4,0,0,8
SOU14,2.1666666666666665,13,0.0,4,0,3,5
UCA05,1.3333333333333333,16,0.0833333333333333,8,0,0,5
LYO05,1.3333333333333333,12,0.0,6,0,0,9
CVL03,0.7777777777777778,7,0.1111111111111111,3,0,1,14
LRE11,0.4615384615384615,6,0.0769230769230769,3,1,2,8
SOU15,1.7142857142857142,12,0.0,5,0,1,7
LDV05,0.5625,9,0.0625,5,0,0,10
UCA14,0.9285714285714286,13,0.0714285714285714,3,0,1,2
PES07,1.3333333333333333,12,0.1111111111111111,4,0,0,0
OCM13,0.4615384615384615,6,0.0,3,0,0,7
UCA11,0.3333333333333333,4,0.0833333333333333,3,0,0,3
BOD01,0.6153846153846154,8,0.0,2,0,1,6
ALS10,0.75,9,0.0,5,1,0,15
ALS11,0.5384615384615384,7,0.0,5,0,0,10
BOD07,0.6923076923076923,9,0.0769230769230769,4,0,0,8
SPC04,1.0,16,0.0625,3,0,0,8
HES08,0.1875,3,0.25,3,0,0,13
LDV09,1.0,12,0.0,6,0,0,1
LYO11,0.2142857142857142,3,0.0,1,0,0,3
LOR08,0.8181818181818182,9,0.0,5,0,0,5
PES08,0.7,7,0.0,4,0,1,6
BRE14,0.3333333333333333,4,0.0833333333333333,2,0,0,18
UCA07,0.6923076923076923,9,0.0,5,0,0,7
SPC08,0.3076923076923077,4,0.0,2,0,0,1
LDV08,0.8,8,0.0,4,0,0,4
OCM14,0.7692307692307693,10,0.0,5,0,1,4
ALS08,1.5454545454545454,17,0.0,7,0,1,4
BRE16,0.4285714285714285,6,0.0,3,0,0,10
GRE07,0.3846153846153846,5,0.0769230769230769,3,0,0,3
HES06,0.5833333333333334,7,0.0,3,0,0,2
LYO01,0.3571428571428571,5,0.0,3,0,1,4
BFC06,0.6666666666666666,4,0.0,1,0,1,2
OCM08,0.7777777777777778,7,0.1111111111111111,2,0,2,2
ALS05,1.2222222222222223,11,0.0,5,1,0,5
ALS09,0.2631578947368421,5,0.0,4,1,0,5
BOD04,1.4,14,0.0,6,1,0,12
BRE04,0.9166666666666666,11,0.0,4,0,1,2
BOD11,0.6,6,0.0,5,0,0,7
SPC09,0.4545454545454545,5,0.0,4,0,0,4
LOR03,0.625,10,0.0625,6,0,0,12
SEN02,1.1333333333333333,17,0.0666666666666666,6,1,0,8
GRE01,0.9090909090909092,10,0.0,4,1,2,4
GRE13,1.0,13,0.0769230769230769,4,2,2,3
BFC02,0.5,7,0.0,3,0,0,5
NOR04,1.5,12,0.0,6,1,0,2
GRE03,0.7272727272727273,8,0.0909090909090909,4,0,1,8
PES03,1.3333333333333333,12,0.0,4,0,0,5
HES03,0.2727272727272727,3,0.0,2,1,0,5
CFE09,0.6428571428571429,9,0.0,5,1,0,13
HES05,0.7,7,0.0,3,1,0,4
SOU09,0.4,4,0.0,4,0,0,3
ALS03,0.9,9,0.0,4,0,1,3
LDV07,0.4615384615384615,6,0.0769230769230769,3,0,0,11
CFE05,0.5333333333333333,8,0.0,4,0,0,2
OCM11,0.2666666666666666,4,0.0666666666666666,3,0,0,8
LRE02,1.181818181818182,13,0.0,3,0,2,2
HES02,0.7727272727272727,17,0.0454545454545454,5,0,0,8
LYO02,0.625,5,0.0,4,1,0,7
CFE02,0.3,3,0.0,3,0,0,3
POF05,1.2,12,0.0,4,0,0,2
BFC10,1.125,9,0.0,2,0,1,6
OCM18,0.6923076923076923,9,0.0,6,0,0,9
SPC03,1.5,6,0.5,2,0,1,0
UCA02,0.6666666666666666,6,0.1111111111111111,4,0,0,8
CVL01,0.7692307692307693,10,0.0769230769230769,4,1,0,7
OCM07,1.6,16,0.0,6,0,1,4
LRE09,0.5384615384615384,7,0.0769230769230769,5,0,0,5
SOU01,0.7692307692307693,10,0.0,4,0,1,2
UPS10,0.8666666666666667,13,0.0,5,0,0,5
HES01,0.9090909090909092,10,0.0,4,1,1,1
NOR05,1.0,11,0.0,5,0,1,5
SOU13,0.9444444444444444,17,0.0,5,0,0,11
ALS04,0.75,12,0.0,6,1,0,8
NOR12,0.3333333333333333,4,0.0833333333333333,3,0,0,11
LYO10,0.875,14,0.25,5,0,0,9
PES04,1.4,7,0.2,2,0,0,0
SOU10,1.0909090909090908,12,0.0909090909090909,4,0,0,5
PES06,0.6666666666666666,6,0.0,3,0,0,5
NOR10,0.6363636363636364,7,0.0909090909090909,2,0,0,11
SEN01,0.1111111111111111,1,0.0,1,0,0,4
BFC09,1.3333333333333333,8,0.0,3,0,0,0
LOR02,0.7777777777777778,7,0.0,3,0,0,3
POF03,1.2727272727272727,14,0.0909090909090909,6,0,1,5
UPS04,0.6923076923076923,9,0.0769230769230769,4,0,1,6
OCM10,0.8181818181818182,9,0.0909090909090909,6,0,0,6
CVL02,1.3333333333333333,12,0.0,5,0,1,3
