ID,negation_count
SOU07,2
BOD12,2
UPL02,5
SPC05,0
SOU14,0
UCA05,1
LYO05,2
CVL03,0
LRE11,0
SOU15,4
LDV05,4
UCA14,3
PES07,2
OCM13,0
UCA11,0
BOD01,2
ALS10,1
ALS11,0
BOD07,4
SPC04,1
HES08,4
LDV09,1
LYO11,3
LOR08,1
PES08,2
BRE14,1
UCA07,0
SPC08,1
LDV08,2
OCM14,6
ALS08,1
BRE16,2
GRE07,0
HES06,1
LYO01,1
BFC06,5
OCM08,3
ALS05,1
ALS09,3
BOD04,1
BRE04,0
BOD11,1
SPC09,0
LOR03,7
SEN02,2
GRE01,3
GRE13,1
BFC02,3
NOR04,0
GRE03,1
PES03,0
HES03,1
CFE09,2
HES05,0
SOU09,0
ALS03,1
LDV07,0
CFE05,5
OCM11,1
LRE02,4
HES02,2
LYO02,3
CFE02,0
POF05,1
BFC10,0
OCM18,3
SPC03,0
UCA02,3
CVL01,4
OCM07,0
LRE09,1
SOU01,2
UPS10,1
HES01,1
NOR05,1
SOU13,2
ALS04,5
NOR12,1
LYO10,1
PES04,1
SOU10,0
PES06,0
NOR10,0
SEN01,1
BFC09,1
LOR02,3
POF03,2
UPS04,1
OCM10,0
CVL02,2
