ID,passive_voice_count
SOU07,1
BOD12,1
UPL02,0
SPC05,1
SOU14,1
UCA05,0
LYO05,1
CVL03,1
LRE11,1
SOU15,0
LDV05,0
UCA14,0
PES07,2
OCM13,1
UCA11,2
BOD01,3
ALS10,1
ALS11,1
BOD07,0
SPC04,0
HES08,0
LDV09,0
LYO11,0
LOR08,3
PES08,0
BRE14,0
UCA07,1
SPC08,0
LDV08,0
OCM14,0
ALS08,0
BRE16,1
GRE07,4
HES06,0
LYO01,3
BFC06,0
OCM08,0
ALS05,0
ALS09,0
BOD04,0
BRE04,0
BOD11,2
SPC09,0
LOR03,1
SEN02,1
GRE01,0
GRE13,1
BFC02,3
NOR04,0
GRE03,0
PES03,0
HES03,2
CFE09,2
HES05,0
SOU09,0
ALS03,0
LDV07,1
CFE05,0
OCM11,0
LRE02,0
HES02,0
LYO02,0
CFE02,0
POF05,0
BFC10,0
OCM18,0
SPC03,0
UCA02,1
CVL01,0
OCM07,0
LRE09,0
SOU01,1
UPS10,0
HES01,0
NOR05,0
SOU13,1
ALS04,0
NOR12,2
LYO10,2
PES04,1
SOU10,2
PES06,1
NOR10,0
SEN01,0
BFC09,0
LOR02,0
POF03,1
UPS04,2
OCM10,0
CVL02,4
