ID,narrative_words,comparison_count
SOU07,2,2
BOD12,4,1
UPL02,6,4
SPC05,4,1
SOU14,0,0
UCA05,2,0
LYO05,2,1
CVL03,1,0
LRE11,4,2
SOU15,2,0
LDV05,4,0
UCA14,3,1
PES07,1,1
OCM13,4,1
UCA11,2,0
BOD01,0,0
ALS10,5,2
ALS11,1,5
BOD07,3,5
SPC04,2,1
HES08,1,4
LDV09,3,0
LYO11,1,2
LOR08,4,2
PES08,5,1
BRE14,3,0
UCA07,0,1
SPC08,0,0
LDV08,7,2
OCM14,5,1
ALS08,4,1
BRE16,3,0
GRE07,2,0
HES06,0,0
LYO01,1,2
BFC06,2,1
OCM08,3,3
ALS05,4,2
ALS09,1,2
BOD04,0,3
BRE04,6,0
BOD11,4,2
SPC09,1,1
LOR03,4,1
SEN02,1,1
GRE01,2,0
GRE13,3,1
BFC02,3,2
NOR04,3,0
GRE03,3,2
PES03,0,1
HES03,3,0
CFE09,3,3
HES05,0,3
SOU09,2,0
ALS03,2,0
LDV07,2,0
CFE05,5,2
OCM11,2,1
LRE02,1,1
HES02,2,0
LYO02,0,4
CFE02,5,2
POF05,3,0
BFC10,0,2
OCM18,4,2
SPC03,3,1
UCA02,2,2
CVL01,2,0
OCM07,2,0
LRE09,6,0
SOU01,3,2
UPS10,7,0
HES01,1,2
NOR05,5,2
SOU13,3,0
ALS04,4,1
NOR12,5,4
LYO10,1,0
PES04,1,0
SOU10,2,2
PES06,3,1
NOR10,0,1
SEN01,2,0
BFC09,6,0
LOR02,1,0
POF03,3,2
UPS04,2,3
OCM10,1,0
CVL02,7,2
