ID,syntactic_diversity_mean,syntactic_diversity_error
SOU07,0.46339074,0.013601273014008874
BOD12,0.5099627,0.033791624071389574
UPL02,0.47230232,0.03455986665307702
SPC05,0.612604,0.02804881749667692
SOU14,0.653755,0.07972999484616672
UCA05,0.67378706,0.036617105290727155
LYO05,0.43190145,0.01585941106768328
CVL03,0.5302879,0.03254834704641477
LRE11,0.54670364,0.028062347984661378
SOU15,0.34743482,0.020705219046674366
LDV05,0.7141131,0.02313546555308545
UCA14,0.65297854,0.018855797989291986
PES07,0.5778832,0.048790667234165995
OCM13,0.6064948,0.021646010125037026
UCA11,0.5668446,0.033973083055959086
BOD01,0.5834858,0.031367081590300064
ALS10,0.5219327,0.019359072568404002
ALS11,0.5774846,0.03447452180110873
BOD07,0.56536484,0.01674727912794407
SPC04,0.5894007,0.014905795283973872
HES08,0.57287854,0.022204037766776666
LDV09,0.6229204,0.027982926442484703
LYO11,0.6212113,0.023819991914033906
LOR08,0.6285988,0.021694375790234047
PES08,0.6293169,0.0495074595660403
BRE14,0.61282235,0.03160186166854086
UCA07,0.64831954,0.02665349356471945
SPC08,0.45686662,0.026282042741108902
LDV08,0.5062369,0.03761254517713886
OCM14,0.5836952,0.022319024550305027
ALS08,0.5963652,0.023519885096672792
BRE16,0.49007934,0.023286835545807478
GRE07,0.5853747,0.027342711819065054
HES06,0.5656423,0.050666633636975704
LYO01,0.5139137,0.022520976932861068
BFC06,0.3521742,0.02333550865884476
OCM08,0.5890885,0.03757547207536832
ALS05,0.34982908,0.018536737848539146
ALS09,0.70062935,0.02029892972350546
BOD04,0.5232216,0.03811590552261372
BRE04,0.6165347,0.035898767348132306
BOD11,0.5115634,0.03332407042671414
SPC09,0.63030404,0.05116083910202859
LOR03,0.6259869,0.021023500211546756
SEN02,0.59711885,0.026994152312309373
GRE01,0.61946106,0.030655274929053518
GRE13,0.53883976,0.02548155970397757
BFC02,0.5402618,0.02596289187622645
NOR04,0.4792018,0.0333206412795414
GRE03,0.6210991,0.03704447216490611
PES03,0.5172865,0.05741079006268293
HES03,0.661574,0.021630923216297903
CFE09,0.4871118,0.02407062580535372
HES05,0.60426235,0.029021985102471073
SOU09,0.6198493,0.03974459746046169
ALS03,0.63130414,0.029114934884825593
LDV07,0.48541132,0.021680233931036054
CFE05,0.5529291,0.025760370389181716
OCM11,0.6086191,0.02489502951289259
LRE02,0.5454122,0.025791479917822147
HES02,0.645419,0.01733265655102423
LYO02,0.5264128,0.04766623417276262
CFE02,0.618234,0.037636455175876576
POF05,0.6440104,0.04112824795050336
BFC10,0.46468863,0.03928738080480954
OCM18,0.58212125,0.029010491012268016
SPC03,0.5260776,0.05525998690531587
UCA02,0.63098747,0.0504628219240982
CVL01,0.8189661,0.031609985029994875
OCM07,0.51022804,0.03229022077443564
LRE09,0.57758254,0.027267457326822175
SOU01,0.48814392,0.027394826192138323
UPS10,0.4980146,0.030202711658089215
HES01,0.6209357,0.03471233224670532
NOR05,0.5889971,0.030833295689653317
SOU13,0.5579298,0.01638540972558823
ALS04,0.6032274,0.023752738512112223
NOR12,0.38811845,0.0182993784471258
LYO10,0.6434111,0.018823901937392657
PES04,0.5816698,0.06063804863484445
SOU10,0.40705642,0.023030692200104397
PES06,0.49588987,0.041234289890483944
NOR10,0.6210184,0.03527592752890896
SEN01,0.6165632,0.04149091377698064
BFC09,0.32576165,0.028634784745753875
LOR02,0.48675168,0.023589743161608813
POF03,0.41348565,0.020295038460499047
UPS04,0.5043559,0.03573463260698952
OCM10,0.7228369,0.02346700337837766
CVL02,0.39641947,0.020855396577802894
