ID,transitions_per_sentence,transitions_number,transitions_similarity_for_neighbour_sentenses,transition_types_count,expletives_count,polysyndeton_count,asyndeton_count
SOU07,1.0,14,0.0,5,0,0,8
BOD12,1.4545454545454546,16,0.0,5,0,1,2
UPL02,1.0909090909090908,12,0.0909090909090909,4,0,1,6
SPC05,0.3846153846153846,5,0.0,4,0,0,4
SOU14,1.1666666666666667,7,0.0,4,1,1,1
UCA05,0.6363636363636364,7,0.0909090909090909,2,0,1,3
LYO05,1.0,11,0.0,6,0,1,3
CVL03,0.6666666666666666,6,0.1111111111111111,2,1,0,7
LRE11,0.4666666666666667,7,0.0,3,0,0,4
SOU15,1.2857142857142858,9,0.0,4,0,0,7
LDV05,1.3,13,0.1,5,1,0,4
UCA14,0.875,14,0.0,7,1,0,3
PES07,0.6666666666666666,6,0.0,6,0,0,5
OCM13,1.0769230769230769,14,0.1538461538461538,5,1,0,12
UCA11,0.8333333333333334,10,0.0,4,0,1,1
BOD01,0.4615384615384615,6,0.0,4,0,1,3
ALS10,0.6923076923076923,9,0.0769230769230769,4,2,1,8
ALS11,1.25,15,0.1666666666666666,6,0,2,11
BOD07,1.1176470588235294,19,0.0,7,0,2,7
SPC04,0.8125,13,0.125,3,0,1,6
HES08,1.0,16,0.0625,6,1,3,4
LDV09,0.3636363636363636,4,0.0909090909090909,2,0,0,2
LYO11,0.8666666666666667,13,0.0,6,0,1,7
LOR08,0.9166666666666666,11,0.0833333333333333,4,0,0,4
PES08,0.9,9,0.0,4,0,1,2
BRE14,0.6,6,0.2,2,0,1,8
UCA07,0.5384615384615384,7,0.0769230769230769,3,1,0,4
SPC08,0.7692307692307693,10,0.1538461538461538,4,0,0,6
LDV08,1.181818181818182,13,0.0,6,0,0,6
OCM14,0.5714285714285714,8,0.2142857142857142,3,0,1,8
ALS08,0.7692307692307693,10,0.0769230769230769,5,0,1,3
BRE16,1.1428571428571428,16,0.0,5,0,2,1
GRE07,0.6153846153846154,8,0.4615384615384615,2,0,1,0
HES06,0.5,6,0.4166666666666667,2,0,0,3
LYO01,0.9230769230769232,12,0.0,8,0,0,5
BFC06,1.8,18,0.2,5,0,5,6
OCM08,1.9,19,0.0,4,0,2,1
ALS05,1.375,11,0.0,4,0,1,0
ALS09,1.0,13,0.0769230769230769,6,0,0,7
BOD04,0.9090909090909092,10,0.0909090909090909,5,2,1,7
BRE04,1.0909090909090908,12,0.0,3,0,2,4
BOD11,1.4,14,0.1,5,1,2,4
SPC09,0.0,0,0.1666666666666666,0,0,0,1
LOR03,1.1875,19,0.0,5,1,0,7
SEN02,1.0714285714285714,15,0.0,4,1,0,9
GRE01,0.2727272727272727,3,0.0,1,0,1,12
GRE13,1.0,13,0.1538461538461538,5,1,1,6
BFC02,1.1428571428571428,16,0.0714285714285714,7,0,1,8
NOR04,1.5,12,0.0,3,0,3,4
GRE03,0.6,6,0.0,3,0,2,9
PES03,0.7777777777777778,7,0.0,3,0,1,7
HES03,0.6153846153846154,8,0.0,3,0,1,1
CFE09,1.0,14,0.0,6,0,0,1
HES05,0.75,9,0.1666666666666666,5,1,0,8
SOU09,0.7,7,0.0,3,0,1,1
ALS03,0.5384615384615384,7,0.0,5,0,0,5
LDV07,0.4615384615384615,6,0.0769230769230769,1,0,0,6
CFE05,0.8666666666666667,13,0.0,6,0,2,2
OCM11,0.4666666666666667,7,0.2666666666666666,3,0,1,5
LRE02,1.0,11,0.0909090909090909,5,1,1,8
HES02,0.3333333333333333,7,0.0476190476190476,5,0,0,8
LYO02,1.75,14,0.0,6,0,1,1
CFE02,0.4545454545454545,5,0.0,2,1,0,5
POF05,0.75,9,0.0833333333333333,3,0,1,1
BFC10,1.25,10,0.0,4,0,1,3
OCM18,1.0769230769230769,14,0.0769230769230769,6,1,0,9
SPC03,2.0,16,0.5,5,0,6,1
UCA02,0.5555555555555556,5,0.1111111111111111,4,0,0,12
CVL01,1.0,6,0.0,3,0,2,1
OCM07,1.5,15,0.2,6,0,1,4
LRE09,0.9,9,0.0,4,0,0,1
SOU01,0.8333333333333334,10,0.0833333333333333,4,0,1,6
UPS10,1.2,18,0.1333333333333333,7,0,2,2
HES01,1.181818181818182,13,0.2727272727272727,2,0,4,2
NOR05,1.25,15,0.0833333333333333,4,0,2,5
SOU13,0.6666666666666666,12,0.0,5,0,0,7
ALS04,1.0,16,0.0,5,0,0,6
NOR12,0.8333333333333334,10,0.0,4,0,0,6
LYO10,0.6875,11,0.0,5,0,0,3
PES04,0.8571428571428571,6,0.1428571428571428,3,0,1,0
SOU10,0.75,9,0.0,5,0,0,2
PES06,0.5,4,0.125,3,1,0,7
NOR10,0.8,8,0.1,4,0,0,13
SEN01,0.7,7,0.0,3,0,0,2
BFC09,1.625,13,0.0,4,0,0,6
LOR02,0.3333333333333333,3,0.0,3,0,0,6
POF03,1.818181818181818,20,0.0909090909090909,5,0,0,7
UPS04,1.0714285714285714,15,0.2857142857142857,4,0,1,2
OCM10,0.5555555555555556,5,0.0,2,0,0,7
CVL02,1.5454545454545454,17,0.09090909090909091,6,0,2,0
