ID,negation_count
SOU07,10
BOD12,6
UPL02,9
SPC05,7
SOU14,2
UCA05,4
LYO05,6
CVL03,0
LRE11,3
SOU15,5
LDV05,7
UCA14,9
PES07,2
OCM13,1
UCA11,2
BOD01,3
ALS10,5
ALS11,1
BOD07,12
SPC04,2
HES08,9
LDV09,5
LYO11,8
LOR08,6
PES08,5
BRE14,3
UCA07,3
SPC08,8
LDV08,3
OCM14,15
ALS08,3
BRE16,3
GRE07,2
HES06,5
LYO01,2
BFC06,7
OCM08,4
ALS05,1
ALS09,5
BOD04,5
BRE04,10
BOD11,1
SPC09,4
LOR03,10
SEN02,6
GRE01,5
GRE13,3
BFC02,7
NOR04,1
GRE03,3
PES03,3
HES03,3
CFE09,5
HES05,5
SOU09,2
ALS03,9
LDV07,2
CFE05,9
OCM11,5
LRE02,7
HES02,4
LYO02,6
CFE02,1
POF05,3
BFC10,0
OCM18,6
SPC03,5
UCA02,3
CVL01,6
OCM07,1
LRE09,5
SOU01,3
UPS10,1
HES01,4
NOR05,5
SOU13,6
ALS04,10
NOR12,8
LYO10,9
PES04,4
SOU10,1
PES06,0
NOR10,0
SEN01,3
BFC09,2
LOR02,4
POF03,6
UPS04,2
OCM10,0
CVL02,6
