ID,syntactic_diversity_mean,syntactic_diversity_error
SOU07,0.5171768,0.013797270216457708
BOD12,0.48770016,0.016167003245731747
UPL02,0.5206718,0.015875221356596806
SPC05,0.4847135,0.017417030466919954
SOU14,0.49986738,0.02344091893468604
UCA05,0.54082,0.01844494765441215
LYO05,0.48831722,0.01684413553329624
CVL03,0.4775602,0.01834043912214235
LRE11,0.5472617,0.017047340991547047
SOU15,0.3499706,0.010073319806073271
LDV05,0.59522676,0.01762225103485326
UCA14,0.4746592,0.01126404062634923
PES07,0.52612567,0.019832292989236024
OCM13,0.633419,0.01276492578055526
UCA11,0.5532645,0.01931200665144231
BOD01,0.54664195,0.01492496604680137
ALS10,0.576733,0.0179928843905979
ALS11,0.61009204,0.018386253277518715
BOD07,0.65225965,0.016738732562007516
SPC04,0.5794698,0.013533995012771803
HES08,0.5597867,0.01711615736176017
LDV09,0.5736627,0.018738906461293316
LYO11,0.63587993,0.01674966359564583
LOR08,0.5909769,0.0132717580774948
PES08,0.54915553,0.019669812223468305
BRE14,0.527631,0.016403797361210806
UCA07,0.6290581,0.016837078903850455
SPC08,0.64301246,0.0146978055040052
LDV08,0.5155822,0.01608352227063214
OCM14,0.65263927,0.016417103078006562
ALS08,0.54022396,0.016173856116875062
BRE16,0.6326895,0.019236320929634936
GRE07,0.5519499,0.01756578900995011
HES06,0.58032465,0.01899001010285235
LYO01,0.6118985,0.020291158184617974
BFC06,0.5352076,0.02024490804640324
OCM08,0.58965826,0.01900661340805791
ALS05,0.50534165,0.024497913143590195
ALS09,0.6700971,0.023036005754068146
BOD04,0.5699899,0.022102548518443864
BRE04,0.6081154,0.019203775035484025
BOD11,0.5365707,0.014439696172575999
SPC09,0.60357267,0.017971250053188743
LOR03,0.5216627,0.011057765309556085
SEN02,0.6200715,0.014541768594553047
GRE01,0.5349443,0.018876680034663914
GRE13,0.5354088,0.013670041135239857
BFC02,0.63606185,0.022626968452976626
NOR04,0.54685587,0.018343639326069354
GRE03,0.5569238,0.015349526434450804
PES03,0.40595442,0.014295288468592675
HES03,0.6314441,0.014730604597811383
CFE09,0.54640275,0.01664116080135852
HES05,0.63714296,0.01804789014292753
SOU09,0.5611561,0.01832695661505475
ALS03,0.54828346,0.01935513149687065
LDV07,0.5764683,0.016462738944868265
CFE05,0.68784225,0.016861525405478243
OCM11,0.59396034,0.016819161657238534
LRE02,0.5667068,0.016728673494045946
HES02,0.6665312,0.021009789745859497
LYO02,0.5183497,0.01748568353084654
CFE02,0.58019865,0.015827628810742282
POF05,0.52961427,0.018578499235897772
BFC10,0.48633042,0.014521260920698715
OCM18,0.5325768,0.013450355226054094
SPC03,0.48349023,0.022137717800739056
UCA02,0.48285165,0.01742183077281046
CVL01,0.6503661,0.020164069936344477
OCM07,0.51817507,0.01712411292489331
LRE09,0.5804474,0.016085956882702077
SOU01,0.5243398,0.014398141464654915
UPS10,0.52475095,0.018057722979244448
HES01,0.57374156,0.020483898556525083
NOR05,0.57782876,0.01982684095642218
SOU13,0.55969846,0.0109829328256403
ALS04,0.5387219,0.01038060081020113
NOR12,0.4642082,0.012691007961666362
LYO10,0.5634285,0.013648011267008259
PES04,0.55402535,0.02149406112436069
SOU10,0.4507766,0.013860432293777328
PES06,0.36088854,0.010514908994206951
NOR10,0.6101801,0.018388633953567407
SEN01,0.4617512,0.011945284786421994
BFC09,0.42325878,0.013668205812294828
LOR02,0.42097217,0.011417785254898612
POF03,0.57125664,0.0173497362910841
UPS04,0.5852332,0.020339983767846997
OCM10,0.5571218,0.014786606668311175
CVL02,0.49149862,0.014010116738505463
