ID,transitions_per_sentence,transitions_number,transitions_similarity_for_neighbour_sentenses,transition_types_count,expletives_count,polysyndeton_count,asyndeton_count
SOU07,0.6666666666666666,28,0.0238095238095238,6,0,0,28
BOD12,1.064516129032258,33,0.032258064516129,9,1,2,13
UPL02,0.90625,29,0.09375,6,0,1,14
SPC05,0.7567567567567568,28,0.027027027027027,8,0,0,16
SOU14,1.2777777777777777,23,0.0555555555555555,5,1,4,8
UCA05,1.0,34,0.0588235294117647,9,0,1,13
LYO05,1.137931034482759,33,0.0344827586206896,8,0,2,17
CVL03,0.7407407407407407,20,0.1111111111111111,4,1,2,25
LRE11,0.6153846153846154,24,0.0256410256410256,7,1,4,18
SOU15,1.5238095238095235,32,0.0,9,0,1,21
LDV05,0.875,35,0.075,8,3,1,21
UCA14,0.8636363636363636,38,0.0227272727272727,8,1,2,13
PES07,0.96,24,0.04,7,0,0,6
OCM13,0.7027027027027027,26,0.081081081081081,6,2,0,24
UCA11,0.7352941176470589,25,0.088235294117647,5,0,3,4
BOD01,0.5641025641025641,22,0.0512820512820512,4,0,2,11
ALS10,0.75,27,0.0555555555555555,6,5,2,26
ALS11,0.75,27,0.1111111111111111,7,0,2,25
BOD07,0.8837209302325582,38,0.0465116279069767,8,0,3,18
SPC04,0.8478260869565217,39,0.108695652173913,5,0,2,19
HES08,0.5319148936170213,25,0.1276595744680851,7,1,4,23
LDV09,0.59375,19,0.03125,6,0,0,6
LYO11,0.6428571428571429,27,0.0,7,0,2,18
LOR08,1.0,31,0.064516129032258,6,0,0,9
PES08,0.8666666666666667,26,0.0,8,1,2,10
BRE14,0.46875,15,0.09375,4,0,2,34
UCA07,0.5384615384615384,21,0.0512820512820512,6,1,0,16
SPC08,0.6923076923076923,27,0.0769230769230769,6,0,1,9
LDV08,0.967741935483871,30,0.032258064516129,7,1,0,15
OCM14,0.6666666666666666,28,0.0952380952380952,8,0,2,20
ALS08,1.2222222222222223,44,0.0277777777777777,9,0,3,14
BRE16,0.6585365853658537,27,0.0,6,0,2,23
GRE07,0.5263157894736842,20,0.2105263157894736,5,0,1,5
HES06,0.5,18,0.25,3,0,1,8
LYO01,0.7560975609756098,31,0.048780487804878,8,0,1,9
BFC06,1.1923076923076923,31,0.0769230769230769,7,0,7,12
OCM08,1.1923076923076923,31,0.0384615384615384,6,1,4,5
ALS05,1.0384615384615383,27,0.0,7,1,1,7
ALS09,0.5957446808510638,28,0.0212765957446808,7,1,0,18
BOD04,1.2758620689655171,37,0.0344827586206896,9,3,2,22
BRE04,1.0285714285714285,36,0.0,7,0,3,13
BOD11,1.0,30,0.0666666666666666,8,3,2,21
SPC09,0.3823529411764705,13,0.1176470588235294,5,0,0,6
LOR03,0.8297872340425532,39,0.0638297872340425,8,1,0,26
SEN02,0.9761904761904762,41,0.0476190476190476,6,2,0,21
GRE01,0.6451612903225806,20,0.0,4,1,3,20
GRE13,0.8918918918918919,33,0.081081081081081,6,4,3,16
BFC02,1.025,41,0.025,8,0,1,18
NOR04,1.3043478260869563,30,0.0434782608695652,6,1,3,8
GRE03,0.7096774193548387,22,0.032258064516129,4,0,3,20
PES03,1.0384615384615383,27,0.0,6,0,2,14
HES03,0.59375,19,0.03125,6,1,1,10
CFE09,0.7,28,0.0,6,1,1,18
HES05,1.03125,33,0.0625,7,2,1,19
SOU09,0.6666666666666666,20,0.0,6,0,1,6
ALS03,1.0909090909090908,36,0.0606060606060606,8,1,4,11
LDV07,0.5,19,0.0789473684210526,4,0,0,20
CFE05,0.5581395348837209,24,0.0,9,0,2,9
OCM11,0.3555555555555555,16,0.1777777777777777,3,0,1,19
LRE02,1.0625,34,0.0625,6,1,3,13
HES02,0.5238095238095238,33,0.0634920634920634,7,0,0,21
LYO02,1.173913043478261,27,0.0,6,1,4,14
CFE02,0.4193548387096774,13,0.0,4,2,0,19
POF05,1.103448275862069,32,0.0344827586206896,6,1,3,6
BFC10,1.1666666666666667,28,0.0,4,0,2,15
OCM18,0.8918918918918919,33,0.081081081081081,7,1,0,24
SPC03,1.619047619047619,34,0.3809523809523809,7,0,10,6
UCA02,0.6923076923076923,18,0.1153846153846153,7,1,0,22
CVL01,1.2666666666666666,38,0.1,10,1,2,19
OCM07,1.4137931034482758,41,0.0689655172413793,8,1,4,10
LRE09,0.5294117647058824,18,0.088235294117647,6,0,0,11
SOU01,0.75,27,0.0555555555555555,6,0,2,15
UPS10,0.9318181818181818,41,0.0681818181818181,8,2,2,16
HES01,1.096774193548387,34,0.1612903225806451,6,1,5,4
NOR05,1.0588235294117647,36,0.0588235294117647,6,0,3,14
SOU13,0.7407407407407407,40,0.0,6,0,0,26
ALS04,0.7916666666666666,38,0.0,7,1,0,20
NOR12,0.6285714285714286,22,0.0857142857142857,7,0,0,22
LYO10,0.7659574468085106,36,0.0851063829787234,7,1,1,19
PES04,1.0,17,0.1764705882352941,3,0,1,0
SOU10,1.0,33,0.0909090909090909,8,0,0,7
PES06,0.625,15,0.0416666666666666,6,1,0,18
NOR10,0.5,16,0.125,4,0,0,32
SEN01,0.6551724137931034,19,0.0344827586206896,6,0,1,11
BFC09,1.2272727272727273,27,0.0454545454545454,4,0,0,7
LOR02,0.7307692307692307,19,0.0,8,0,0,22
POF03,1.3636363636363635,45,0.1515151515151515,7,1,1,16
UPS04,0.8780487804878049,36,0.1707317073170731,7,0,3,12
OCM10,0.7419354838709677,23,0.032258064516129,7,0,2,20
CVL02,1.3548387096774193,42,0.03225806451612903,8,0,4,5
