ID,negation_count
SOU07,4
BOD12,0
UPL02,3
SPC05,5
SOU14,0
UCA05,2
LYO05,2
CVL03,0
LRE11,3
SOU15,1
LDV05,3
UCA14,5
PES07,0
OCM13,1
UCA11,0
BOD01,0
ALS10,2
ALS11,1
BOD07,0
SPC04,0
HES08,4
LDV09,2
LYO11,4
LOR08,0
PES08,1
BRE14,2
UCA07,2
SPC08,4
LDV08,1
OCM14,4
ALS08,1
BRE16,0
GRE07,2
HES06,0
LYO01,1
BFC06,2
OCM08,0
ALS05,0
ALS09,1
BOD04,2
BRE04,5
BOD11,0
SPC09,2
LOR03,0
SEN02,3
GRE01,1
GRE13,2
BFC02,4
NOR04,0
GRE03,1
PES03,1
HES03,1
CFE09,1
HES05,2
SOU09,2
ALS03,5
LDV07,1
CFE05,2
OCM11,2
LRE02,1
HES02,1
LYO02,1
CFE02,0
POF05,2
BFC10,0
OCM18,2
SPC03,4
UCA02,0
CVL01,2
OCM07,0
LRE09,2
SOU01,0
UPS10,0
HES01,2
NOR05,0
SOU13,1
ALS04,2
NOR12,5
LYO10,2
PES04,0
SOU10,0
PES06,0
NOR10,0
SEN01,1
BFC09,0
LOR02,1
POF03,3
UPS04,1
OCM10,0
CVL02,3
