ID,passive_voice_count
SOU07,0
BOD12,2
UPL02,0
SPC05,1
SOU14,1
UCA05,1
LYO05,1
CVL03,0
LRE11,0
SOU15,1
LDV05,2
UCA14,0
PES07,2
OCM13,0
UCA11,1
BOD01,3
ALS10,0
ALS11,0
BOD07,0
SPC04,1
HES08,0
LDV09,2
LYO11,1
LOR08,1
PES08,0
BRE14,0
UCA07,2
SPC08,0
LDV08,2
OCM14,0
ALS08,0
BRE16,0
GRE07,0
HES06,0
LYO01,1
BFC06,2
OCM08,1
ALS05,0
ALS09,0
BOD04,0
BRE04,1
BOD11,1
SPC09,2
LOR03,0
SEN02,0
GRE01,0
GRE13,1
BFC02,3
NOR04,0
GRE03,1
PES03,0
HES03,0
CFE09,1
HES05,1
SOU09,1
ALS03,0
LDV07,1
CFE05,0
OCM11,1
LRE02,0
HES02,0
LYO02,0
CFE02,0
POF05,0
BFC10,1
OCM18,0
SPC03,0
UCA02,0
CVL01,0
OCM07,1
LRE09,0
SOU01,2
UPS10,1
HES01,0
NOR05,1
SOU13,0
ALS04,1
NOR12,0
LYO10,0
PES04,1
SOU10,0
PES06,0
NOR10,1
SEN01,0
BFC09,0
LOR02,0
POF03,0
UPS04,0
OCM10,0
CVL02,4
