ID,narrative_words,comparison_count
SOU07,1,7
BOD12,5,3
UPL02,3,3
SPC05,2,3
SOU14,0,0
UCA05,1,1
LYO05,4,0
CVL03,2,1
LRE11,0,2
SOU15,1,2
LDV05,6,1
UCA14,1,2
PES07,3,0
OCM13,1,0
UCA11,2,0
BOD01,1,0
ALS10,3,1
ALS11,2,2
BOD07,0,7
SPC04,3,0
HES08,0,0
LDV09,2,0
LYO11,2,1
LOR08,3,1
PES08,1,1
BRE14,1,2
UCA07,4,1
SPC08,2,0
LDV08,4,0
OCM14,2,0
ALS08,3,6
BRE16,1,1
GRE07,1,0
HES06,1,1
LYO01,2,2
BFC06,1,1
OCM08,1,1
ALS05,2,2
ALS09,4,3
BOD04,2,0
BRE04,2,2
BOD11,2,1
SPC09,0,0
LOR03,3,2
SEN02,1,0
GRE01,1,1
GRE13,1,1
BFC02,2,0
NOR04,2,0
GRE03,0,1
PES03,2,0
HES03,0,1
CFE09,0,1
HES05,2,2
SOU09,0,2
ALS03,1,2
LDV07,2,1
CFE05,1,0
OCM11,1,1
LRE02,3,0
HES02,1,1
LYO02,3,2
CFE02,0,3
POF05,0,0
BFC10,1,1
OCM18,2,2
SPC03,0,2
UCA02,3,0
CVL01,2,2
OCM07,3,0
LRE09,0,1
SOU01,0,0
UPS10,2,1
HES01,1,0
NOR05,3,5
SOU13,2,2
ALS04,3,2
NOR12,0,1
LYO10,5,1
PES04,1,0
SOU10,2,1
PES06,3,0
NOR10,2,0
SEN01,0,2
BFC09,7,1
LOR02,2,1
POF03,1,1
UPS04,0,5
OCM10,2,1
CVL02,3,3
