ID,syntactic_diversity_mean,syntactic_diversity_error
SOU07,0.5122922,0.01557899854586815
BOD12,0.4989282,0.03850066412088024
UPL02,0.48547572,0.03100452067607811
SPC05,0.4789232,0.019139913706327196
SOU14,0.46373215,0.05087198420424272
UCA05,0.4263398,0.025978038079078874
LYO05,0.5441917,0.0335596353156379
CVL03,0.55125386,0.04371895331394608
LRE11,0.523042,0.024498619842882156
SOU15,0.4065287,0.033886648958278455
LDV05,0.6075001,0.021292199914325637
UCA14,0.4851397,0.02757036668284056
PES07,0.58156013,0.06570226562715548
OCM13,0.68359125,0.026588041585011567
UCA11,0.55988365,0.045424042365542976
BOD01,0.45649245,0.026271293435548806
ALS10,0.58683807,0.032399002693148
ALS11,0.57823575,0.03344747376116648
BOD07,0.5352338,0.017482238439451223
SPC04,0.54110724,0.01719046970882939
HES08,0.60343224,0.02414187316531144
LDV09,0.58804774,0.0457835344951634
LYO11,0.55760175,0.025492358114479315
LOR08,0.4630454,0.027218171737251714
PES08,0.5114512,0.022158286071772972
BRE14,0.49711657,0.03319272694647363
UCA07,0.58403546,0.03455949455351534
SPC08,0.6188493,0.02912137464717332
LDV08,0.58901846,0.02387897063104798
OCM14,0.6507917,0.020858097543376267
ALS08,0.520851,0.030707431525819017
BRE16,0.622189,0.030481375757771035
GRE07,0.4513831,0.02625831190154781
HES06,0.6403198,0.04384990692840718
LYO01,0.60405916,0.02641668181972798
BFC06,0.5929145,0.03917319913884345
OCM08,0.6921124,0.04203520016712272
ALS05,0.58573383,0.05780272944515245
ALS09,0.62156624,0.025240654374010386
BOD04,0.7110091,0.0426592933992864
BRE04,0.6564649,0.029076071945337584
BOD11,0.5795984,0.02715313417950839
SPC09,0.57941616,0.02875624122019286
LOR03,0.50023425,0.012902931865388188
SEN02,0.5896104,0.023507938565868677
GRE01,0.4959823,0.04704774303423172
GRE13,0.58938473,0.02731786791136769
BFC02,0.60464656,0.027249664222291064
NOR04,0.622021,0.06662079901215938
GRE03,0.6521414,0.027751873150105067
PES03,0.47266537,0.0383332405962211
HES03,0.61467695,0.03741472925245096
CFE09,0.6129322,0.024474924577429596
HES05,0.5098279,0.025381288650179544
SOU09,0.61618084,0.04260293747574268
ALS03,0.52380645,0.03133599040401067
LDV07,0.5951017,0.023731734148016555
CFE05,0.7270487,0.019567077330449795
OCM11,0.5561711,0.02236465813119865
LRE02,0.58401227,0.02989976881834726
HES02,0.60938346,0.01595941099108662
LYO02,0.35864425,0.024531432128351998
CFE02,0.4463443,0.025518021141346388
POF05,0.56301147,0.026482330733473457
BFC10,0.5510807,0.03425693016749812
OCM18,0.4821523,0.03324943167040721
SPC03,0.3637641,0.02140915354737886
UCA02,0.41118273,0.03739151513422854
CVL01,0.53482443,0.03700494116024606
OCM07,0.3978109,0.024131127675870556
LRE09,0.5317907,0.0226058994147586
SOU01,0.524538,0.025151885750074543
UPS10,0.5348654,0.01803514703352355
HES01,0.45712274,0.024469257655362724
NOR05,0.5243923,0.02582511023222617
SOU13,0.6210207,0.01649830345280017
ALS04,0.62557095,0.016117623759989767
NOR12,0.5715473,0.03307407618819722
LYO10,0.5098365,0.014710639712079155
PES04,0.5361935,0.06921167741544801
SOU10,0.5372484,0.03740616077350287
PES06,0.46287987,0.06019014633845613
NOR10,0.6462984,0.025446527626101303
SEN01,0.43561444,0.02031450043510944
BFC09,0.52101666,0.029030809698268798
LOR02,0.4955048,0.03742567112098579
POF03,0.6173147,0.023435467126773322
UPS04,0.5122952,0.019844849161618987
OCM10,0.48766503,0.03027659764455739
CVL02,0.5317217,0.028578298790721022
