ID,transitions_per_sentence,transitions_number,transitions_similarity_for_neighbour_sentenses,transition_types_count,expletives_count,polysyndeton_count,asyndeton_count
SOU07,0.5714285714285714,8,0.0,5,0,0,14
BOD12,0.5555555555555556,5,0.0,4,0,0,4
UPL02,1.0,10,0.2,4,0,0,2
SPC05,1.1538461538461535,15,0.0769230769230769,7,0,0,4
SOU14,0.5,3,0.1666666666666666,1,0,0,2
UCA05,1.0,11,0.0,3,0,0,5
LYO05,1.1111111111111112,10,0.0,6,0,1,5
CVL03,0.7777777777777778,7,0.1111111111111111,3,0,1,4
LRE11,0.9166666666666666,11,0.0,5,0,2,6
SOU15,1.5714285714285714,11,0.0,7,0,0,7
LDV05,0.8666666666666667,13,0.0666666666666666,4,2,1,7
UCA14,0.7857142857142857,11,0.0,6,0,1,8
PES07,0.75,6,0.0,4,0,0,1
OCM13,0.5454545454545454,6,0.0909090909090909,2,1,0,5
UCA11,1.1,11,0.2,3,0,2,0
BOD01,0.6153846153846154,8,0.1538461538461538,3,0,0,2
ALS10,0.8181818181818182,9,0.0909090909090909,2,2,1,3
ALS11,0.4545454545454545,5,0.1818181818181818,5,0,0,4
BOD07,0.7692307692307693,10,0.0769230769230769,4,0,1,3
SPC04,0.7142857142857143,10,0.1428571428571428,4,0,1,5
HES08,0.4,6,0.0666666666666666,5,0,1,6
LDV09,0.3333333333333333,3,0.0,2,0,0,3
LYO11,0.8461538461538461,11,0.0,4,0,1,8
LOR08,1.1,11,0.1,4,0,0,0
PES08,1.0,10,0.0,4,1,0,2
BRE14,0.5,5,0.0,3,0,1,8
UCA07,0.3846153846153846,5,0.0769230769230769,3,0,0,5
SPC08,1.0,13,0.0769230769230769,5,0,1,2
LDV08,0.9,9,0.0,5,1,0,5
OCM14,0.6666666666666666,10,0.0666666666666666,5,0,0,8
ALS08,1.4166666666666667,17,0.0,8,0,1,7
BRE16,0.3846153846153846,5,0.0,4,0,0,12
GRE07,0.5833333333333334,7,0.0833333333333333,5,0,0,2
HES06,0.4166666666666667,5,0.25,1,0,1,3
LYO01,1.0,14,0.1428571428571428,4,0,0,0
BFC06,0.9,9,0.0,5,0,1,4
OCM08,0.625,5,0.0,4,1,0,2
ALS05,0.5555555555555556,5,0.0,4,0,0,2
ALS09,0.6666666666666666,10,0.0,5,0,0,6
BOD04,1.625,13,0.0,5,0,1,3
BRE04,1.0833333333333333,13,0.0,5,0,0,7
BOD11,1.0,10,0.1,5,2,0,10
SPC09,0.7272727272727273,8,0.0909090909090909,5,0,0,1
LOR03,0.6666666666666666,10,0.1333333333333333,6,0,0,7
SEN02,0.6923076923076923,9,0.0769230769230769,3,0,0,4
GRE01,0.7777777777777778,7,0.0,3,0,0,4
GRE13,0.6363636363636364,7,0.0,4,1,0,7
BFC02,1.5,18,0.0,6,0,0,5
NOR04,0.8571428571428571,6,0.1428571428571428,3,0,0,2
GRE03,0.8,8,0.0,2,0,0,3
PES03,1.0,8,0.0,4,0,1,2
HES03,0.8,8,0.1,5,0,0,5
CFE09,0.4166666666666667,5,0.0,2,0,1,4
HES05,1.7,17,0.0,4,0,1,7
SOU09,0.9,9,0.0,6,0,0,2
ALS03,1.818181818181818,20,0.1818181818181818,7,1,3,10
LDV07,0.5833333333333334,7,0.0833333333333333,3,0,0,3
CFE05,0.2307692307692307,3,0.0,3,0,0,5
OCM11,0.3333333333333333,5,0.2,2,0,0,6
LRE02,1.0,10,0.1,4,0,0,3
HES02,0.45,9,0.1,4,0,0,5
LYO02,1.1428571428571428,8,0.0,3,0,3,6
CFE02,0.5,5,0.0,3,1,0,11
POF05,1.5714285714285714,11,0.0,4,1,2,3
BFC10,1.125,9,0.0,3,0,0,6
OCM18,0.9090909090909092,10,0.1818181818181818,4,0,0,6
SPC03,1.3333333333333333,12,0.1111111111111111,5,0,3,5
UCA02,0.875,7,0.125,4,1,0,2
CVL01,2.0,22,0.1818181818181818,9,0,0,11
OCM07,1.1111111111111112,10,0.0,4,1,2,2
LRE09,0.1818181818181818,2,0.1818181818181818,2,0,0,5
SOU01,0.6363636363636364,7,0.0909090909090909,5,0,0,7
UPS10,0.7142857142857143,10,0.0714285714285714,5,2,0,9
HES01,1.2222222222222223,11,0.1111111111111111,5,0,0,1
NOR05,0.9090909090909092,10,0.0909090909090909,3,0,0,4
SOU13,0.6111111111111112,11,0.0,4,0,0,8
ALS04,0.625,10,0.0,5,0,0,6
NOR12,0.7272727272727273,8,0.1818181818181818,6,0,0,5
LYO10,0.7333333333333333,11,0.0,5,1,1,7
PES04,0.8,4,0.0,1,0,0,0
SOU10,1.2,12,0.2,5,0,0,0
PES06,0.7142857142857143,5,0.0,3,0,0,6
NOR10,0.0909090909090909,1,0.0909090909090909,1,0,0,8
SEN01,1.0,11,0.0,5,0,1,5
BFC09,0.75,6,0.125,3,0,0,1
LOR02,1.125,9,0.0,7,0,0,13
POF03,1.0,11,0.2727272727272727,5,1,0,4
UPS04,0.8571428571428571,12,0.0714285714285714,5,0,1,4
OCM10,0.8181818181818182,9,0.0,4,0,2,7
CVL02,1.1818181818181819,13,0.0,7,0,1,2
